[LogInfo] Page generation time: 0.23177313804626 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21706199645996 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21888017654419 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22418999671936 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21870493888855 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21752285957336 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2125301361084 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21813321113586 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21991610527039 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2151939868927 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23118090629578 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21706795692444 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22230315208435 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 17.975697040558 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 14.323022842407 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 12.761706113815 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21670317649841 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21423816680908 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22993803024292 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2186450958252 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22424793243408 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22590088844299 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21554803848267 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.27494692802429 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21181011199951 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21554899215698 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21535682678223 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21412181854248 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22384881973267 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21840810775757 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21893000602722 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2182788848877 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21296882629395 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22296905517578 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22083187103271 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13880896568298 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.15620303153992 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.1437361240387 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.26801490783691 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21321988105774 seconds | Page:localhost/astracore/index.php | INFO
