[ Logger_Oscar - 2025-09-18 07:21:11 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 8.9168548583984E-5 seconds
[ Logger_Oscar - 2025-09-18 07:21:15 | Category: INFO | URL: http://localhost/astracore/login | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0010361671447754 seconds
[ Logger_Oscar - 2025-09-18 07:21:17 | Category: INFO | URL: http://localhost/astracore/login | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: -11.649081945419 seconds
[ Logger_Oscar - 2025-09-18 07:21:26 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00045108795166016 seconds
[ Logger_Oscar - 2025-09-18 07:21:36 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00022387504577637 seconds
[ Logger_Oscar - 2025-09-18 07:21:43 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00040102005004883 seconds
[ Logger_Oscar - 2025-09-18 07:24:13 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0011930465698242 seconds
[ Logger_Oscar - 2025-09-18 07:24:36 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00089693069458008 seconds
[ Logger_Oscar - 2025-09-18 07:24:40 | Category: INFO | URL: http://localhost/astracore/login | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0026440620422363 seconds
[ Logger_Oscar - 2025-09-18 07:24:38 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00078082084655762 seconds
[ Logger_Oscar - 2025-09-18 07:24:43 | Category: SUCCESS | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] New user created with ID:  (fauzapespi)
[ Logger_Oscar - 2025-09-18 07:24:43 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.38827514648438 seconds
[ Logger_Oscar - 2025-09-18 07:24:44 | Category: INFO | URL: http://localhost/astracore/dashboard/?tab=devices-list | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.27850317955017 seconds
